bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,785725,94.6891,0.8867,0.0000,-0.8867,2.6266,3.9362,0.3163,-3.6200
0.02,0.05,zero,31757,65.7650,6.3482,0.0000,-6.3482,10.8858,16.8089,0.5511,-16.2578
0.05,0.1,zero,15719,51.0529,18.8307,0.0000,-18.8307,16.0430,40.4988,0.6107,-39.8880
0.1,0.2,zero,19865,60.4480,31.9205,0.0000,-31.9205,14.4526,59.0486,0.6947,-58.3539
0.2,0.3,zero,16637,68.3296,43.0967,0.0000,-43.0967,12.9458,69.2973,0.6251,-68.6722
0.3,0.4,zero,16471,73.8146,52.5165,0.0000,-52.5165,11.7503,75.3870,0.8561,-74.5310
0.4,1.01,zero,695510,90.6415,75.7003,0.0000,-75.7003,11.0707,82.5294,0.4707,-82.0586
0.0,0.02,random,785725,94.6891,0.8867,0.0000,-0.8867,2.6883,3.9362,0.3361,-3.6001
0.02,0.05,random,31757,65.7650,6.3482,0.0000,-6.3482,11.1207,16.8089,0.5888,-16.2200
0.05,0.1,random,15719,51.0529,18.8307,0.0000,-18.8307,16.4183,40.4988,0.7062,-39.7926
0.1,0.2,random,19865,60.4480,31.9205,0.0000,-31.9205,14.8120,59.0486,0.9011,-58.1475
0.2,0.3,random,16637,68.3296,43.0967,0.0000,-43.0967,13.2909,69.2973,0.8295,-68.4679
0.3,0.4,random,16471,73.8146,52.5165,0.0000,-52.5165,12.1098,75.3870,1.0443,-74.3428
0.4,1.01,random,695510,90.6415,75.7003,0.0000,-75.7003,11.2384,82.5294,0.5957,-81.9337
