bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,421661,99.8888,0.0287,34.3812,34.3525,0.3616,0.1482,40.9037,40.7555
0.02,0.05,zero,447648,99.9077,0.0226,32.4503,32.4277,0.3284,0.1363,37.8798,37.7435
0.05,0.1,zero,317590,99.9713,0.0198,36.5496,36.5298,0.2138,0.1219,43.5725,43.4507
0.1,0.2,zero,242307,99.9901,0.0107,33.4753,33.4646,0.2311,0.1597,40.9621,40.8024
0.2,0.3,zero,106908,99.9981,0.0047,35.9253,35.9206,0.2438,0.1880,43.3429,43.1549
0.3,0.4,zero,39860,99.9950,0.0075,40.0426,40.0351,0.2198,0.2032,47.8450,47.6417
0.4,1.01,zero,5710,100.0000,0.0000,38.3187,38.3187,0.0981,0.0701,47.2504,47.1804
0.0,0.02,random,421661,78.1995,0.0287,0.0387,0.0100,55.1124,0.1482,0.2402,0.0920
0.02,0.05,random,447648,81.2793,0.0226,0.0369,0.0143,54.1807,0.1363,0.2089,0.0726
0.05,0.1,random,317590,85.2738,0.0198,0.0362,0.0164,47.8254,0.1219,0.2113,0.0894
0.1,0.2,random,242307,86.7796,0.0107,0.0359,0.0252,41.9940,0.1597,0.2385,0.0788
0.2,0.3,random,106908,89.5780,0.0047,0.0327,0.0281,39.3634,0.1880,0.2806,0.0926
0.3,0.4,random,39860,80.7727,0.0075,0.0276,0.0201,36.8038,0.2032,0.2258,0.0226
0.4,1.01,random,5710,82.8371,0.0000,0.1051,0.1051,28.9912,0.0701,0.3853,0.3152
