bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,763031,98.8270,0.6946,0.5570,-0.1376,4.2955,3.1025,1.7087,-1.3938
0.02,0.05,zero,79011,96.3689,2.6756,3.8817,1.2062,9.0461,8.4520,6.3092,-2.1427
0.05,0.1,zero,20385,85.6708,11.4202,19.7106,8.2904,27.3613,28.0157,27.8097,-0.2060
0.1,0.2,zero,13655,61.7137,32.9257,50.9118,17.9861,61.3255,66.4372,69.5496,3.1124
0.2,0.3,zero,10433,47.0239,46.5254,62.5228,15.9973,74.3717,81.2806,84.3573,3.0768
0.3,0.4,zero,9976,38.8232,54.0798,65.2967,11.2169,77.3557,84.3023,86.5377,2.2354
0.4,1.01,zero,685193,2.4494,82.7087,82.7863,0.0776,83.3932,85.5689,85.7068,0.1379
0.0,0.02,random,763031,98.4470,0.6946,0.5548,-0.1398,5.1651,3.1025,1.7706,-1.3319
0.02,0.05,random,79011,95.7449,2.6756,3.6704,0.9948,10.1462,8.4520,6.3953,-2.0567
0.05,0.1,random,20385,85.2686,11.4202,18.2732,6.8531,28.2698,28.0157,27.7606,-0.2551
0.1,0.2,random,13655,62.2336,32.9257,48.0703,15.1446,61.3812,66.4372,68.7807,2.3435
0.2,0.3,random,10433,48.5479,46.5254,57.9603,11.4349,73.8081,81.2806,83.5426,2.2621
0.3,0.4,random,9976,40.6676,54.0798,61.0766,6.9968,76.6159,84.3023,86.0265,1.7241
0.4,1.01,random,685193,3.2633,82.7087,81.8709,-0.8377,82.3513,85.5689,85.6502,0.0813
