bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,550316,97.0104,0.6189,0.4123,-0.2066,8.3332,2.7917,1.7114,-1.0803
0.02,0.05,zero,186026,95.6356,0.9810,0.6822,-0.2989,9.8658,4.0209,2.4244,-1.5966
0.05,0.1,zero,80485,93.9206,1.8389,1.3729,-0.4659,12.4190,6.1614,4.0579,-2.1035
0.1,0.2,zero,36374,88.7942,5.3500,3.9671,-1.3829,19.4469,13.3310,9.9467,-3.3843
0.2,0.3,zero,11286,77.4854,16.4629,10.4820,-5.9809,34.4444,30.7106,23.8703,-6.8403
0.3,0.4,zero,6799,67.5835,28.5924,16.7525,-11.8400,47.6923,49.2572,37.3290,-11.9282
0.4,1.01,zero,710398,24.2809,84.0660,61.2483,-22.8176,68.9363,85.6652,76.3844,-9.2809
0.0,0.02,random,550316,96.5443,0.6189,0.4119,-0.2070,9.2936,2.7917,1.7196,-1.0721
0.02,0.05,random,186026,94.9437,0.9810,0.6521,-0.3290,10.9642,4.0209,2.4282,-1.5928
0.05,0.1,random,80485,92.9229,1.8389,1.2773,-0.5616,13.6570,6.1614,4.0132,-2.1482
0.1,0.2,random,36374,87.8732,5.3500,3.5960,-1.7540,20.5289,13.3310,9.5370,-3.7939
0.2,0.3,random,11286,76.8031,16.4629,9.7643,-6.6986,34.8839,30.7106,22.5501,-8.1606
0.3,0.4,random,6799,67.9218,28.5924,15.2228,-13.3696,47.2452,49.2572,35.4611,-13.7961
0.4,1.01,random,710398,26.3752,84.0660,59.1157,-24.9502,67.9957,85.6652,74.0451,-11.6201
