bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,718961,88.2539,0.6274,0.4373,-0.1901,22.8960,2.8620,2.0777,-0.7843
0.02,0.05,zero,107236,75.3133,1.6953,0.9577,-0.7376,31.3216,5.9308,4.4323,-1.4986
0.05,0.1,zero,28537,62.4242,6.7106,3.3781,-3.3325,43.0865,16.5084,13.9258,-2.5826
0.1,0.2,zero,14774,55.0156,24.8612,10.7554,-14.1059,60.4630,48.3823,41.8844,-6.4979
0.2,0.3,zero,9216,55.4905,43.9019,18.2183,-25.6836,69.9783,72.0269,63.4874,-8.5395
0.3,0.4,zero,8656,53.5813,54.9792,23.2671,-31.7121,72.7403,78.8355,70.5638,-8.2717
0.4,1.01,zero,694304,13.8994,83.1317,71.0971,-12.0346,80.5674,85.1617,83.8149,-1.3468
0.0,0.02,random,718961,87.8838,0.6274,0.4391,-0.1883,23.4410,2.8620,2.1019,-0.7601
0.02,0.05,random,107236,74.5160,1.6953,0.9493,-0.7460,31.9148,5.9308,4.4649,-1.4659
0.05,0.1,random,28537,61.5517,6.7106,3.3150,-3.3956,43.5624,16.5084,13.7541,-2.7543
0.1,0.2,random,14774,55.1509,24.8612,10.4982,-14.3631,60.4711,48.3823,41.0857,-7.2966
0.2,0.3,random,9216,55.7075,43.9019,17.6215,-26.2804,69.6528,72.0269,62.6302,-9.3967
0.3,0.4,random,8656,54.1012,54.9792,22.4584,-32.5208,72.2828,78.8355,68.9811,-9.8544
0.4,1.01,random,694304,14.4421,83.1317,70.5458,-12.5860,80.4442,85.1617,83.5340,-1.6277
