bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,3074,96.0963,6.5062,1.4639,-5.0423,10.0911,24.2030,6.8315,-17.3715
0.02,0.05,zero,3179,95.8792,8.1787,2.5165,-5.6622,10.8462,26.1718,8.0843,-18.0874
0.05,0.1,zero,3426,95.0088,10.2160,2.1016,-8.1144,12.3818,29.3637,8.8733,-20.4904
0.1,0.2,zero,3855,94.4747,14.8638,2.8534,-12.0104,14.0130,35.2529,10.6615,-24.5914
0.2,0.3,zero,2213,92.9056,20.2440,3.2987,-16.9453,16.8007,41.0755,12.6977,-28.3778
0.3,0.4,zero,1520,90.7237,26.9079,4.9342,-21.9737,18.2763,46.5132,16.1184,-30.3947
0.4,1.01,zero,15346,31.7998,85.2926,66.4668,-18.8258,47.7479,90.9944,76.5476,-14.4468
0.0,0.02,random,3074,96.2264,6.5062,1.4639,-5.0423,10.0781,24.2030,6.7339,-17.4691
0.02,0.05,random,3179,95.8792,8.1787,2.5165,-5.6622,10.8651,26.1718,7.9899,-18.1818
0.05,0.1,random,3426,95.0671,10.2160,2.2475,-7.9685,12.6678,29.3637,8.6690,-20.6947
0.1,0.2,random,3855,94.4488,14.8638,2.8534,-12.0104,14.1582,35.2529,10.6615,-24.5914
0.2,0.3,random,2213,92.7700,20.2440,3.2535,-16.9905,16.9995,41.0755,12.9236,-28.1518
0.3,0.4,random,1520,90.6579,26.9079,4.8026,-22.1053,18.3421,46.5132,16.9737,-29.5395
0.4,1.01,random,15346,31.7803,85.2926,66.4799,-18.8127,47.9069,90.9944,76.6323,-14.3620
