bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,4873,97.0449,4.9867,1.6622,-3.3244,9.8748,18.1818,6.2385,-11.9434
0.02,0.05,zero,4205,95.9096,6.8014,2.2830,-4.5184,11.6052,21.1177,7.6813,-13.4364
0.05,0.1,zero,3769,94.1364,9.3659,2.3879,-6.9780,13.1069,25.7893,9.3128,-16.4765
0.1,0.2,zero,3558,92.7487,15.6549,4.2721,-11.3828,15.9978,33.7268,14.3901,-19.3367
0.2,0.3,zero,1691,88.8823,25.0739,7.3329,-17.7410,21.8451,44.7073,22.2354,-22.4719
0.3,0.4,zero,1105,84.4344,39.4570,10.2262,-29.2308,27.8009,56.5611,34.7511,-21.8100
0.4,1.01,zero,13412,21.5180,91.2765,77.1921,-14.0844,56.6254,95.6308,88.3612,-7.2696
0.0,0.02,random,4873,96.9013,4.9867,1.5801,-3.4065,9.9651,18.1818,6.2179,-11.9639
0.02,0.05,random,4205,95.7907,6.8014,2.3068,-4.4946,11.5862,21.1177,8.0380,-13.0797
0.05,0.1,random,3769,93.8976,9.3659,2.3083,-7.0576,13.1122,25.7893,9.2067,-16.5826
0.1,0.2,random,3558,92.8331,15.6549,3.9910,-11.6639,16.0315,33.7268,14.3339,-19.3929
0.2,0.3,random,1691,89.4737,25.0739,7.0964,-17.9775,21.9633,44.7073,22.1762,-22.5310
0.3,0.4,random,1105,85.3394,39.4570,9.9548,-29.5023,27.6561,56.5611,33.8462,-22.7149
0.4,1.01,random,13412,21.6075,91.2765,77.0802,-14.1962,56.6016,95.6308,88.2792,-7.3516
