bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,4846,98.8031,0.7429,20.5118,19.7689,11.8118,3.0953,26.1246,23.0293
0.02,0.05,zero,2073,98.0704,1.6884,21.3700,19.6816,9.4742,6.7053,25.8080,19.1027
0.05,0.1,zero,1976,97.9757,2.0243,18.5729,16.5486,8.7955,7.7935,23.4312,15.6377
0.1,0.2,zero,2575,96.8155,3.1068,18.9515,15.8447,8.6680,8.9320,22.1748,13.2427
0.2,0.3,zero,1895,96.5172,3.3773,17.6253,14.2480,8.7916,11.2929,22.2164,10.9235
0.3,0.4,zero,1835,96.7302,3.2698,16.0763,12.8065,8.2180,10.2997,20.1635,9.8638
0.4,1.01,zero,17413,94.4639,5.4614,39.4475,33.9861,7.3325,13.5244,42.2271,28.7027
0.0,0.02,random,4846,98.1015,0.7429,20.3467,19.6038,13.2687,3.0953,26.0834,22.9880
0.02,0.05,random,2073,97.8292,1.6884,21.3700,19.6816,10.4197,6.7053,25.9527,19.2475
0.05,0.1,random,1976,97.9251,2.0243,18.5223,16.4980,9.5142,7.7935,23.1781,15.3846
0.1,0.2,random,2575,96.8155,3.1068,18.9903,15.8835,9.2505,8.9320,22.1359,13.2039
0.2,0.3,random,1895,96.5172,3.3773,18.1003,14.7230,9.4354,11.2929,22.0053,10.7124
0.3,0.4,random,1835,96.7302,3.2698,16.0763,12.8065,8.7411,10.2997,20.4360,10.1362
0.4,1.01,random,17413,94.3490,5.4614,39.4246,33.9631,7.9286,13.5244,42.2098,28.6855
