bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,13328,87.3274,3.9766,1.6357,-2.3409,26.5351,12.5975,6.6702,-5.9274
0.02,0.05,zero,4412,79.7144,13.4859,3.5131,-9.9728,33.5313,27.6292,15.3898,-12.2393
0.05,0.1,zero,2199,71.4416,34.4247,10.7322,-23.6926,40.5821,51.7053,33.1060,-18.5994
0.1,0.2,zero,1450,66.4138,57.7241,20.1379,-37.5862,47.8069,74.8276,55.1034,-19.7241
0.2,0.3,zero,680,55.5882,68.8235,33.2353,-35.5882,53.5294,84.7059,70.5882,-14.1176
0.3,0.4,zero,425,55.5294,73.1765,37.6471,-35.5294,54.1176,92.0000,79.7647,-12.2353
0.4,1.01,zero,10119,4.7534,96.7685,94.1496,-2.6188,81.8895,99.0908,98.1125,-0.9784
0.0,0.02,random,13328,87.2224,3.9766,1.5981,-2.3785,26.7737,12.5975,6.7677,-5.8298
0.02,0.05,random,4412,79.3291,13.4859,3.5131,-9.9728,33.7398,27.6292,15.3898,-12.2393
0.05,0.1,random,2199,71.6689,34.4247,10.4593,-23.9654,41.0186,51.7053,33.3788,-18.3265
0.1,0.2,random,1450,66.6207,57.7241,19.6552,-38.0690,47.7241,74.8276,54.6897,-20.1379
0.2,0.3,random,680,57.5000,68.8235,32.0588,-36.7647,53.4118,84.7059,69.8529,-14.8529
0.3,0.4,random,425,57.6471,73.1765,35.2941,-37.8824,54.2118,92.0000,81.1765,-10.8235
0.4,1.01,random,10119,4.6546,96.7685,94.2188,-2.5497,81.9725,99.0908,98.1915,-0.8993
