bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,6388,96.4934,4.5398,1.7846,-2.7552,8.9136,16.1553,6.1365,-10.0188
0.02,0.05,zero,4772,96.1023,6.9363,1.9279,-5.0084,10.5532,19.1534,7.6488,-11.5046
0.05,0.1,zero,3651,94.2755,10.3533,3.2868,-7.0666,13.2621,24.8973,10.2712,-14.6261
0.1,0.2,zero,2787,90.9221,18.2992,5.2027,-13.0965,18.1844,35.1633,18.0122,-17.1511
0.2,0.3,zero,1328,84.4127,35.3916,12.5753,-22.8163,27.4096,55.5723,35.0151,-20.5572
0.3,0.4,zero,843,77.1056,51.2456,17.4377,-33.8078,34.2823,68.5647,45.4330,-23.1317
0.4,1.01,zero,12844,17.7904,95.1728,81.4622,-13.7107,52.6207,97.9991,93.1797,-4.8194
0.0,0.02,random,6388,96.4465,4.5398,1.6437,-2.8961,9.0138,16.1553,6.2617,-9.8936
0.02,0.05,random,4772,96.1232,6.9363,1.9908,-4.9455,10.6412,19.1534,7.7117,-11.4417
0.05,0.1,random,3651,93.9469,10.3533,3.3416,-7.0118,13.4319,24.8973,10.5451,-14.3522
0.1,0.2,random,2787,90.9221,18.2992,5.1668,-13.1324,18.3854,35.1633,18.0481,-17.1152
0.2,0.3,random,1328,84.7892,35.3916,12.3494,-23.0422,27.5151,55.5723,34.4880,-21.0843
0.3,0.4,random,843,76.7497,51.2456,17.3191,-33.9265,34.3060,68.5647,45.9075,-22.6572
0.4,1.01,random,12844,17.5413,95.1728,81.6412,-13.5316,53.1423,97.9991,93.4522,-4.5469
