==========================================
Monitor: Exp J → Exp K
==========================================
Started at: Mon Jan 12 04:27:05 AM EST 2026


[04:27:05] Exp J running: Epoch 47/300    
[04:28:05] Exp J running: Epoch 48/300    
[04:29:05] Exp J running: Epoch 48/300    
[04:30:05] Exp J running: Epoch 49/300    
[04:31:05] Exp J running: Epoch 49/300    
[04:32:05] Exp J running: Epoch 50/300    
[04:33:06] Exp J running: Epoch 50/300    
[04:34:06] Exp J running: Epoch 51/300    
[04:35:06] Exp J running: Epoch 52/300    
[04:36:06] Exp J running: Epoch 52/300    
[04:37:06] Exp J running: Epoch 53/300    
[04:38:06] Exp J running: Epoch 53/300    
[04:39:06] Exp J running: Epoch 54/300    
[04:40:06] Exp J running: Epoch 54/300    
[04:41:06] Exp J running: Epoch 55/300    
[04:42:06] Exp J running: Epoch 55/300    
[04:43:06] Exp J running: Epoch 56/300    
[04:44:06] Exp J running: Epoch 56/300    
[04:45:06] Exp J running: Epoch 57/300    
[04:46:06] Exp J running: Epoch 57/300    
[04:47:06] Exp J running: Epoch 58/300    
[04:48:06] Exp J running: Epoch 58/300    
[04:49:06] Exp J running: Epoch 59/300    
[04:50:06] Exp J running: Epoch 59/300    
[04:51:06] Exp J running: Epoch 60/300    
[04:52:06] Exp J running: Epoch 61/300    
[04:53:06] Exp J running: Epoch 61/300    
[04:54:07] Exp J running: Epoch 62/300    
[04:55:07] Exp J running: Epoch 62/300    
[04:56:07] Exp J running: Epoch 63/300    
[04:57:07] Exp J running: Epoch 63/300    
[04:58:07] Exp J running: Epoch 63/300    
[04:59:07] Exp J running: Epoch 64/300    
[05:00:07] Exp J running: Epoch 64/300    
[05:01:07] Exp J running: Epoch 65/300    
[05:02:07] Exp J running: Epoch 65/300    
[05:03:07] Exp J running: Epoch 65/300    
[05:04:07] Exp J running: Epoch 66/300    
[05:05:08] Exp J running: Epoch 66/300    
[05:06:08] Exp J running: Epoch 66/300    
[05:07:08] Exp J running: Epoch 67/300    
[05:08:08] Exp J running: Epoch 67/300    
[05:09:08] Exp J running: Epoch 68/300    
[05:10:08] Exp J running: Epoch 68/300    
[05:11:08] Exp J running: Epoch 68/300    
[05:12:08] Exp J running: Epoch 69/300    
[05:13:08] Exp J running: Epoch 69/300    
[05:14:08] Exp J running: Epoch 69/300    
[05:15:08] Exp J running: Epoch 70/300    
[05:16:09] Exp J running: Epoch 70/300    
[05:17:09] Exp J running: Epoch 71/300    
[05:18:09] Exp J running: Epoch 71/300    
[05:19:09] Exp J running: Epoch 71/300    
[05:20:09] Exp J running: Epoch 72/300    
[05:21:09] Exp J running: Epoch 72/300    
[05:22:09] Exp J running: Epoch 72/300    
[05:23:09] Exp J running: Epoch 73/300    
[05:24:09] Exp J running: Epoch 73/300    
[05:25:09] Exp J running: Epoch 74/300    
[05:26:09] Exp J running: Epoch 74/300    
[05:27:09] Exp J running: Epoch 74/300    
[05:28:10] Exp J running: Epoch 75/300    
[05:29:10] Exp J running: Epoch 75/300    
[05:30:10] Exp J running: Epoch 76/300    
[05:31:10] Exp J running: Epoch 76/300    
[05:32:10] Exp J running: Epoch 76/300    
[05:33:10] Exp J running: Epoch 77/300    
[05:34:10] Exp J running: Epoch 77/300    
[05:35:10] Exp J running: Epoch 77/300    
[05:36:10] Exp J running: Epoch 78/300    
[05:37:11] Exp J running: Epoch 78/300    
[05:38:11] Exp J running: Epoch 79/300    
[05:39:11] Exp J running: Epoch 79/300    
[05:40:11] Exp J running: Epoch 79/300    
[05:41:11] Exp J running: Epoch 80/300    
[05:42:11] Exp J running: Epoch 80/300    
[05:43:11] Exp J running: Epoch 81/300    
[05:44:11] Exp J running: Epoch 81/300    
[05:45:11] Exp J running: Epoch 81/300    
[05:46:11] Exp J running: Epoch 82/300    
[05:47:12] Exp J running: Epoch 83/300    
[05:48:12] Exp J running: Epoch 83/300    
[05:49:12] Exp J running: Epoch 84/300    
[05:50:12] Exp J running: Epoch 84/300    
[05:51:12] Exp J running: Epoch 85/300    
[05:52:12] Exp J running: Epoch 85/300    
[05:53:12] Exp J running: Epoch 86/300    
[05:54:12] Exp J running: Epoch 86/300    
[05:55:12] Exp J running: Epoch 87/300    
[05:56:12] Exp J running: Epoch 87/300    
[05:57:12] Exp J running: Epoch 88/300    
[05:58:12] Exp J running: Epoch 89/300    
[05:59:12] Exp J running: Epoch 89/300    
[06:00:12] Exp J running: Epoch 90/300    
[06:01:12] Exp J running: Epoch 90/300    
[06:02:12] Exp J running: Epoch 91/300    
[06:03:13] Exp J running: Epoch 91/300    
[06:04:13] Exp J running: Epoch 92/300    
[06:05:13] Exp J running: Epoch 93/300    
[06:06:13] Exp J running: Epoch 93/300    
[06:07:13] Exp J running: Epoch 94/300    
[06:08:13] Exp J running: Epoch 94/300    
[06:09:13] Exp J running: Epoch 95/300    
[06:10:13] Exp J running: Epoch 95/300    
[06:11:13] Exp J running: Epoch 96/300    
[06:12:13] Exp J running: Epoch 97/300    
[06:13:13] Exp J running: Epoch 97/300    
[06:14:13] Exp J running: Epoch 98/300    
[06:15:13] Exp J running: Epoch 98/300    
[06:16:13] Exp J running: Epoch 99/300    
[06:17:13] Exp J running: Epoch 99/300    
[06:18:13] Exp J running: Epoch 100/300    
[06:19:13] Exp J running: Epoch 101/300    
[06:20:13] Exp J running: Epoch 101/300    
[06:21:13] Exp J running: Epoch 102/300    
[06:22:13] Exp J running: Epoch 102/300    
[06:23:13] Exp J running: Epoch 103/300    
[06:24:13] Exp J running: Epoch 103/300    
[06:25:13] Exp J running: Epoch 104/300    
[06:26:13] Exp J running: Epoch 105/300    
[06:27:13] Exp J running: Epoch 105/300    
[06:28:13] Exp J running: Epoch 106/300    
[06:29:14] Exp J running: Epoch 106/300    
[06:30:14] Exp J running: Epoch 107/300    
[06:31:14] Exp J running: Epoch 107/300    
[06:32:14] Exp J running: Epoch 108/300    
[06:33:14] Exp J running: Epoch 109/300    
[06:34:14] Exp J running: Epoch 109/300    
[06:35:14] Exp J running: Epoch 110/300    
[06:36:14] Exp J running: Epoch 110/300    
[06:37:14] Exp J running: Epoch 111/300    
[06:38:14] Exp J running: Epoch 111/300    
[06:39:14] Exp J running: Epoch 112/300    
[06:40:14] Exp J running: Epoch 113/300    
[06:41:14] Exp J running: Epoch 113/300    
[06:42:14] Exp J running: Epoch 114/300    
[06:43:14] Exp J running: Epoch 114/300    
[06:44:14] Exp J running: Epoch 115/300    
[06:45:14] Exp J running: Epoch 115/300    
[06:46:14] Exp J running: Epoch 116/300    
[06:47:14] Exp J running: Epoch 117/300    
[06:48:14] Exp J running: Epoch 117/300    
[06:49:14] Exp J running: Epoch 118/300    
[06:50:14] Exp J running: Epoch 118/300    
[06:51:15] Exp J running: Epoch 119/300    
[06:52:15] Exp J running: Epoch 119/300    
[06:53:15] Exp J running: Epoch 120/300    
[06:54:15] Exp J running: Epoch 120/300    
[06:55:15] Exp J running: Epoch 121/300    
[06:56:15] Exp J running: Epoch 122/300    
[06:57:15] Exp J running: Epoch 122/300    
[06:58:15] Exp J running: Epoch 123/300    
[06:59:15] Exp J running: Epoch 123/300    
[07:00:15] Exp J running: Epoch 124/300    
[07:01:15] Exp J running: Epoch 125/300    
[07:02:15] Exp J running: Epoch 125/300    
[07:03:15] Exp J running: Epoch 126/300    
[07:04:15] Exp J running: Epoch 126/300    
[07:05:15] Exp J running: Epoch 127/300    
[07:06:15] Exp J running: Epoch 127/300    
[07:07:15] Exp J running: Epoch 128/300    
[07:08:15] Exp J running: Epoch 129/300    
[07:09:15] Exp J running: Epoch 129/300    
[07:10:15] Exp J running: Epoch 130/300    
[07:11:15] Exp J running: Epoch 130/300    
[07:12:16] Exp J running: Epoch 131/300    
[07:13:16] Exp J running: Epoch 131/300    
[07:14:16] Exp J running: Epoch 132/300    
[07:15:16] Exp J running: Epoch 133/300    
[07:16:16] Exp J running: Epoch 133/300    
[07:17:16] Exp J running: Epoch 134/300    
[07:18:16] Exp J running: Epoch 134/300    
[07:19:16] Exp J running: Epoch 135/300    
[07:20:16] Exp J running: Epoch 135/300    
[07:21:16] Exp J running: Epoch 136/300    
[07:22:16] Exp J running: Epoch 137/300    
[07:23:16] Exp J running: Epoch 137/300    
[07:24:16] Exp J running: Epoch 138/300    
[07:25:16] Exp J running: Epoch 138/300    
[07:26:16] Exp J running: Epoch 139/300    
[07:27:16] Exp J running: Epoch 139/300    
[07:28:16] Exp J running: Epoch 140/300    
[07:29:16] Exp J running: Epoch 141/300    
[07:30:16] Exp J running: Epoch 141/300    
[07:31:16] Exp J running: Epoch 142/300    
[07:32:17] Exp J running: Epoch 142/300    
[07:33:17] Exp J running: Epoch 143/300    
[07:34:17] Exp J running: Epoch 143/300    
[07:35:17] Exp J running: Epoch 144/300    
[07:36:17] Exp J running: Epoch 145/300    
[07:37:17] Exp J running: Epoch 145/300    
[07:38:17] Exp J running: Epoch 146/300    
[07:39:17] Exp J running: Epoch 146/300    
[07:40:17] Exp J running: Epoch 147/300    
[07:41:17] Exp J running: Epoch 147/300    
[07:42:17] Exp J running: Epoch 148/300    
[07:43:17] Exp J running: Epoch 149/300    
[07:44:17] Exp J running: Epoch 149/300    
[07:45:17] Exp J running: Epoch 150/300    
[07:46:17] Exp J running: Epoch 150/300    
[07:47:17] Exp J running: Epoch 151/300    
[07:48:17] Exp J running: Epoch 151/300    
[07:49:17] Exp J running: Epoch 152/300    
[07:50:18] Exp J running: Epoch 153/300    
[07:51:18] Exp J running: Epoch 153/300    
[07:52:18] Exp J running: Epoch 154/300    
[07:53:18] Exp J running: Epoch 154/300    
[07:54:18] Exp J running: Epoch 155/300    
[07:55:18] Exp J running: Epoch 155/300    
[07:56:18] Exp J running: Epoch 156/300    
[07:57:18] Exp J running: Epoch 157/300    
[07:58:18] Exp J running: Epoch 157/300    
[07:59:18] Exp J running: Epoch 158/300    
[08:00:18] Exp J running: Epoch 158/300    
[08:01:18] Exp J running: Epoch 159/300    
[08:02:18] Exp J running: Epoch 159/300    
[08:03:18] Exp J running: Epoch 160/300    
[08:04:18] Exp J running: Epoch 160/300    
[08:05:18] Exp J running: Epoch 161/300    
[08:06:18] Exp J running: Epoch 162/300    
[08:07:18] Exp J running: Epoch 162/300    
[08:08:19] Exp J running: Epoch 163/300    
[08:09:19] Exp J running: Epoch 163/300    
[08:10:19] Exp J running: Epoch 164/300    
[08:11:19] Exp J running: Epoch 164/300    
[08:12:19] Exp J running: Epoch 165/300    
[08:13:19] Exp J running: Epoch 166/300    
[08:14:19] Exp J running: Epoch 166/300    
[08:15:19] Exp J running: Epoch 167/300    
[08:16:19] Exp J running: Epoch 167/300    
[08:17:19] Exp J running: Epoch 168/300    
[08:18:19] Exp J running: Epoch 168/300    
[08:19:19] Exp J running: Epoch 169/300    
[08:20:19] Exp J running: Epoch 170/300    
[08:21:19] Exp J running: Epoch 170/300    
[08:22:19] Exp J running: Epoch 171/300    
[08:23:19] Exp J running: Epoch 171/300    
[08:24:20] Exp J running: Epoch 172/300    
[08:25:20] Exp J running: Epoch 172/300    
[08:26:20] Exp J running: Epoch 173/300    
[08:27:20] Exp J running: Epoch 174/300    
[08:28:20] Exp J running: Epoch 174/300    
[08:29:20] Exp J running: Epoch 175/300    
[08:30:20] Exp J running: Epoch 175/300    
[08:31:20] Exp J running: Epoch 176/300    
[08:32:20] Exp J running: Epoch 176/300    
[08:33:20] Exp J running: Epoch 177/300    
[08:34:20] Exp J running: Epoch 178/300    
[08:35:20] Exp J running: Epoch 178/300    
[08:36:20] Exp J running: Epoch 179/300    
[08:37:20] Exp J running: Epoch 179/300    
[08:38:20] Exp J running: Epoch 180/300    
[08:39:20] Exp J running: Epoch 180/300    
[08:40:21] Exp J running: Epoch 181/300    
[08:41:21] Exp J running: Epoch 182/300    
[08:42:21] Exp J running: Epoch 182/300    
[08:43:21] Exp J running: Epoch 183/300    
[08:44:21] Exp J running: Epoch 183/300    
[08:45:21] Exp J running: Epoch 184/300    
[08:46:21] Exp J running: Epoch 185/300    
[08:47:21] Exp J running: Epoch 185/300    
[08:48:21] Exp J running: Epoch 186/300    
[08:49:21] Exp J running: Epoch 186/300    
[08:50:21] Exp J running: Epoch 187/300    
[08:51:21] Exp J running: Epoch 187/300    
[08:52:21] Exp J running: Epoch 188/300    
[08:53:21] Exp J running: Epoch 189/300    
[08:54:21] Exp J running: Epoch 189/300    
[08:55:22] Exp J running: Epoch 190/300    
[08:56:22] Exp J running: Epoch 190/300    
[08:57:22] Exp J running: Epoch 191/300    
[08:58:22] Exp J running: Epoch 191/300    
[08:59:22] Exp J running: Epoch 192/300    
[09:00:22] Exp J running: Epoch 193/300    
[09:01:22] Exp J running: Epoch 193/300    
[09:02:22] Exp J running: Epoch 194/300    
[09:03:22] Exp J running: Epoch 194/300    
[09:04:22] Exp J running: Epoch 195/300    
[09:05:22] Exp J running: Epoch 195/300    
[09:06:22] Exp J running: Epoch 196/300    
[09:07:22] Exp J running: Epoch 197/300    
[09:08:22] Exp J running: Epoch 197/300    
[09:09:23] Exp J running: Epoch 198/300    
[09:10:23] Exp J running: Epoch 198/300    
[09:11:23] Exp J running: Epoch 199/300    
[09:12:23] Exp J running: Epoch 199/300    
[09:13:23] Exp J running: Epoch 200/300    
[09:14:23] Exp J running: Epoch 201/300    
[09:15:23] Exp J running: Epoch 201/300    
[09:16:23] Exp J running: Epoch 202/300    
[09:17:23] Exp J running: Epoch 202/300    
[09:18:23] Exp J running: Epoch 203/300    
[09:19:23] Exp J running: Epoch 203/300    
[09:20:23] Exp J running: Epoch 204/300    
[09:21:23] Exp J running: Epoch 205/300    
[09:22:23] Exp J running: Epoch 205/300    
[09:23:24] Exp J running: Epoch 206/300    
[09:24:24] Exp J running: Epoch 206/300    
[09:25:24] Exp J running: Epoch 207/300    
[09:26:24] Exp J running: Epoch 207/300    
[09:27:24] Exp J running: Epoch 208/300    
[09:28:24] Exp J running: Epoch 209/300    
[09:29:24] Exp J running: Epoch 209/300    
[09:30:24] Exp J running: Epoch 210/300    
[09:31:24] Exp J running: Epoch 210/300    
[09:32:24] Exp J running: Epoch 211/300    
[09:33:24] Exp J running: Epoch 211/300    
[09:34:24] Exp J running: Epoch 212/300    
[09:35:24] Exp J running: Epoch 213/300    
[09:36:24] Exp J running: Epoch 213/300    
[09:37:25] Exp J running: Epoch 214/300    
[09:38:25] Exp J running: Epoch 214/300    
[09:39:25] Exp J running: Epoch 215/300    
[09:40:25] Exp J running: Epoch 215/300    
[09:41:25] Exp J running: Epoch 216/300    
[09:42:25] Exp J running: Epoch 217/300    
[09:43:25] Exp J running: Epoch 217/300    
[09:44:25] Exp J running: Epoch 218/300    
[09:45:25] Exp J running: Epoch 218/300    
[09:46:25] Exp J running: Epoch 219/300    
[09:47:25] Exp J running: Epoch 219/300    
[09:48:25] Exp J running: Epoch 220/300    
[09:49:25] Exp J running: Epoch 221/300    
[09:50:26] Exp J running: Epoch 221/300    
[09:51:26] Exp J running: Epoch 222/300    
[09:52:26] Exp J running: Epoch 222/300    
[09:53:26] Exp J running: Epoch 223/300    
[09:54:26] Exp J running: Epoch 223/300    
[09:55:26] Exp J running: Epoch 224/300    
[09:56:26] Exp J running: Epoch 224/300    
[09:57:26] Exp J running: Epoch 225/300    
[09:58:26] Exp J running: Epoch 226/300    
[09:59:26] Exp J running: Epoch 226/300    
[10:00:27] Exp J running: Epoch 227/300    
[10:01:27] Exp J running: Epoch 227/300    
[10:02:27] Exp J running: Epoch 228/300    
[10:03:27] Exp J running: Epoch 228/300    
[10:04:27] Exp J running: Epoch 229/300    
[10:05:27] Exp J running: Epoch 230/300    
[10:06:27] Exp J running: Epoch 230/300    
[10:07:27] Exp J running: Epoch 231/300    
[10:08:27] Exp J running: Epoch 231/300    
[10:09:27] Exp J running: Epoch 232/300    
[10:10:27] Exp J running: Epoch 232/300    
[10:11:27] Exp J running: Epoch 233/300    
[10:12:28] Exp J running: Epoch 234/300    
[10:13:28] Exp J running: Epoch 234/300    
[10:14:28] Exp J running: Epoch 235/300    
[10:15:28] Exp J running: Epoch 235/300    
[10:16:28] Exp J running: Epoch 236/300    
[10:17:28] Exp J running: Epoch 236/300    
[10:18:28] Exp J running: Epoch 237/300    
[10:19:28] Exp J running: Epoch 238/300    
[10:20:28] Exp J running: Epoch 238/300    
[10:21:28] Exp J running: Epoch 239/300    
[10:22:28] Exp J running: Epoch 239/300    
