rank,token_id,count,frequency,cumulative_freq
1,278,103288,21.7591344209249,21.7591344209249
2,1834,39623,8.347166981259269,30.106301402184172
3,77,2639,0.5559441148712417,30.662245517055414
4,316,1776,0.374140488067952,31.036386005123365
5,1288,1381,0.2909279358231091,31.327313940946475
6,1246,1248,0.26290953215585816,31.590223473102334
7,1346,1171,0.24668835108534445,31.836911824187677
8,1157,1166,0.24563502763920725,32.08254685182688
9,710,1115,0.23489112848860727,32.31743798031549
10,766,1036,0.21824861803963866,32.53568659835513
11,223,999,0.21045402453822298,32.74614062289335
12,954,990,0.20855804233517594,32.95469866522853
13,257,955,0.2011847782122152,33.15588344344074
14,1244,926,0.1950755022246191,33.35095894566536
15,526,920,0.19381151408925443,33.544770459754616
16,659,904,0.1904408790616152,33.73521133881623
17,696,892,0.1879129027908858,33.92312424160711
18,1262,859,0.18096096804637996,34.10408520965349
19,572,855,0.18011830928947012,34.28420351894296
20,1319,840,0.1769583389510584,34.46116185789402
21,1273,837,0.17632634488337603,34.6374882027774
22,864,816,0.17190238640959957,34.809390589187
23,949,789,0.1662144398004584,34.97560502898745
24,1231,788,0.16600377511123096,35.14160880409868
25,969,759,0.1598944991236349,35.30150330322232
26,274,759,0.1598944991236349,35.46139780234596
27,1348,742,0.15631319940676822,35.617711001752724
28,1326,741,0.1561025347175408,35.773813536470264
29,1338,740,0.15589187002831334,35.92970540649858
30,1004,735,0.15483854658217608,36.084543953080754
31,95,734,0.15462788189294863,36.2391718349737
32,447,734,0.15462788189294863,36.39379971686665
33,1596,730,0.15378522313603882,36.54758494000269
34,966,721,0.15188924093299178,36.69947418093569
35,679,720,0.15167857624376432,36.851152757179456
36,1163,718,0.15125724686530942,37.00241000404476
37,1655,715,0.1506252527976271,37.15303525684239
38,1308,710,0.1495719293514898,37.302607186193875
39,758,710,0.1495719293514898,37.45217911554536
40,862,708,0.14915059997303493,37.601329715518396
41,1272,705,0.14851860590535257,37.74984832142375
42,704,701,0.14767594714844276,37.89752426857219
43,44,696,0.14662262370230553,38.0441468922745
44,1078,686,0.144515976810031,38.18866286908453
45,1113,679,0.14304132398543884,38.33170419306997
46,1056,673,0.14177733585007415,38.47348152892004
47,1221,673,0.14177733585007415,38.61525886477011
48,903,671,0.14135600647161925,38.75661487124173
49,1335,665,0.14009201833625456,38.896706889577985
50,1280,665,0.14009201833625456,39.03679890791424
51,740,665,0.14009201833625456,39.17689092625049
52,1366,663,0.13967068895779966,39.31656161520829
53,1684,659,0.13882803020088985,39.455389645409184
54,1136,651,0.13714271268707023,39.59253235809626
55,641,646,0.136089389240933,39.72862174733719
56,996,644,0.1356680598624781,39.86428980719967
57,1286,641,0.13503606579479574,39.99932587299446
58,461,638,0.13440407172711338,40.13372994472157
59,678,636,0.13398274234865848,40.26771268707023
60,519,634,0.1335614129702036,40.40127410004043
61,973,631,0.13292941890252125,40.53420351894295
62,1015,630,0.13271875421329377,40.666922273156246
63,1344,630,0.13271875421329377,40.79964102736954
64,700,627,0.13208676014561144,40.93172778751515
65,1431,623,0.13124410138870163,41.06297188890385
66,110,622,0.1310334366994742,41.19400532560333
67,860,610,0.12850546042874478,41.322510786032076
68,1407,609,0.12829479573951733,41.4508055817716
69,1353,608,0.12808413105028987,41.57888971282188
70,1374,607,0.12787346636106242,41.70676317918294
71,345,606,0.12766280167183497,41.834425980854775
72,816,601,0.12660947822569774,41.96103545908047
73,774,600,0.12639881353647026,42.08743427261694
74,1457,593,0.12492416071187812,42.212358433328816
75,975,588,0.12387083726574087,42.33622927059456
76,633,583,0.12281751381960362,42.45904678441416
77,628,577,0.12155352568423891,42.580600310098404
78,364,574,0.12092153161655655,42.701521841714964
79,686,574,0.12092153161655655,42.822443373331524
80,765,574,0.12092153161655655,42.94336490494808
81,1502,566,0.11923621410273695,43.06260111905082
82,189,564,0.11881488472428206,43.1814160037751
83,1389,564,0.11881488472428206,43.30023088849938
84,1156,561,0.1181828906565997,43.418413779155976
85,1401,558,0.11755089658891736,43.53596467574489
86,868,557,0.11734023189968991,43.65330490764458
87,1022,553,0.11649757314278011,43.76980248078736
88,1016,552,0.11628690845355266,43.886089389240915
89,1180,549,0.11565491438587029,44.001744303626786
90,1419,548,0.11544424969664284,44.11718855332343
91,642,548,0.11544424969664284,44.232632803020074
92,1340,547,0.1152335850074154,44.34786638802749
93,1620,546,0.11502292031818795,44.46288930834568
94,940,546,0.11502292031818795,44.57791222866387
95,775,544,0.11460159093973304,44.692513819603604
96,417,542,0.11418026156127814,44.806694081164885
97,466,541,0.11396959687205069,44.92066367803694
98,1485,531,0.1118629499797762,45.03252662801671
99,768,530,0.11165228529054873,45.14417891330726
100,1237,524,0.11038829715518403,45.25456721046244
101,1497,519,0.10933497370904678,45.36390218417149
102,1075,518,0.10912430901981933,45.473026493191306
103,725,515,0.10849231495213699,45.58151880814344
104,697,510,0.10743899150599973,45.688957799649444
105,1345,508,0.10701766212754484,45.79597546177699
106,1542,508,0.10701766212754484,45.90299312390454
107,983,505,0.10638566805986248,46.0093787919644
108,1240,503,0.10596433868140759,46.11534313064581
109,1765,501,0.10554300930295268,46.22088613994877
110,694,494,0.10406835647836052,46.324954496427125
111,179,493,0.10385769178913307,46.428812188216256
112,1047,493,0.10385769178913307,46.532669880005386
113,412,489,0.10301503303222327,46.63568491303761
114,127,488,0.10280436834299582,46.7384892813806
115,1725,486,0.10238303896454092,46.84087232034514
116,3,486,0.10238303896454092,46.94325535930968
117,847,486,0.10238303896454092,47.04563839827422
118,1141,485,0.10217237427531346,47.14781077254953
119,524,484,0.10196170958608602,47.24977248213562
120,1415,482,0.10154038020763112,47.35131286234325
121,1368,481,0.10132971551840367,47.45264257786165
122,1452,480,0.10111905082917622,47.55376162869083
123,1633,479,0.10090838613994876,47.65467001483078
124,1426,477,0.10048705676149387,47.75515707159227
125,370,476,0.10027639207226642,47.85543346366454
126,931,475,0.10006572738303897,47.95549919104758
127,836,474,0.0998550626938115,48.05535425374139
128,1636,473,0.09964439800458405,48.15499865174598
129,521,472,0.09943373331535663,48.254432385061335
130,361,472,0.09943373331535663,48.35386611837669
131,544,471,0.09922306862612917,48.453089187002824
132,1281,470,0.09901240393690172,48.55210159093973
133,695,469,0.09880173924767426,48.650903330187404
134,809,469,0.09880173924767426,48.74970506943508
135,14,469,0.09880173924767426,48.84850680868276
136,1461,465,0.09795908049076446,48.946465889173524
137,1073,462,0.0973270864230821,49.04379297559661
138,502,458,0.09648442766617231,49.14027740326278
139,1473,456,0.0960630982877174,49.236340501550494
140,1293,452,0.0952204395308076,49.3315609410813
141,1521,451,0.09500977484158016,49.42657071592288
142,286,448,0.0943777807738978,49.520948496696775
143,186,447,0.09416711608467035,49.615115612781445
144,794,445,0.09374578670621546,49.70886139948766
145,1416,444,0.093535122016988,49.80239652150465
146,824,442,0.0931137926385331,49.89551031414318
147,438,440,0.0926924632600782,49.98820277740326
148,1588,439,0.09248179857085076,50.08068457597411
149,1350,438,0.0922711338816233,50.172955709855735
150,1493,437,0.09206046919239584,50.26501617904813
151,297,436,0.0918498045031684,50.3568659835513
152,1382,436,0.0918498045031684,50.44871578805447
153,446,433,0.09121781043548605,50.53993359848996
154,892,433,0.09121781043548605,50.63115140892545
155,565,433,0.09121781043548605,50.722369219360935
156,1409,431,0.09079648105703114,50.81316570041797
157,136,430,0.09058581636780369,50.903751516785775
158,890,424,0.08932182823243899,50.99307334501821
159,1719,423,0.08911116354321154,51.08218450856142
160,997,421,0.08868983416475663,51.17087434272617
161,547,421,0.08868983416475663,51.259564176890926
162,1427,420,0.0884791694755292,51.34804334636645
163,123,419,0.08826850478630174,51.43631185115275
164,787,418,0.08805784009707429,51.524369691249824
165,756,418,0.08805784009707429,51.612427531346896
166,1727,417,0.08784717540784684,51.70027470675474
167,1468,417,0.08784717540784684,51.788121882162585
168,483,417,0.08784717540784684,51.87596905757043
169,17,415,0.08742584602939193,51.96339490359982
170,1372,414,0.0872151813401645,52.05061008493998
171,755,414,0.0872151813401645,52.137825266280146
172,22,413,0.08700451665093703,52.22482978293108
173,1300,411,0.08658318727248214,52.31141297020356
174,1253,411,0.08658318727248214,52.397996157476044
175,705,411,0.08658318727248214,52.484579344748525
176,670,409,0.08616185789402724,52.57074120264255
177,428,409,0.08616185789402724,52.65690306053658
178,1030,408,0.08595119320479978,52.74285425374138
179,529,408,0.08595119320479978,52.82880544694618
180,175,408,0.08595119320479978,52.914756640150976
181,1660,404,0.08510853444788999,52.99986517459887
182,753,403,0.08489786975866254,53.08476304435753
183,1161,403,0.08489786975866254,53.16966091411619
184,1086,401,0.08447654038020763,53.2541374544964
185,1229,399,0.08405521100175273,53.338192665498156
186,416,399,0.08405521100175273,53.42224787649991
187,57,398,0.08384454631252529,53.506092422812436
188,224,396,0.08342321693407037,53.58951563974651
189,1337,395,0.08321255224484293,53.672728191991354
190,692,394,0.08300188755561548,53.75573007954697
191,1698,394,0.08300188755561548,53.83873196710259
192,1460,392,0.08258055817716058,53.92131252527975
193,65,388,0.08173789942025078,54.00305042470001
194,665,388,0.08173789942025078,54.08478832412026
195,208,388,0.08173789942025078,54.166526223540515
196,759,388,0.08173789942025078,54.24826412296077
197,203,387,0.08152723473102333,54.32979135769179
198,899,387,0.08152723473102333,54.41131859242281
199,1607,386,0.08131657004179588,54.4926351624646
200,1176,385,0.08110590535256842,54.57374106781717
201,1494,385,0.08110590535256842,54.65484697316973
202,1423,384,0.08089524066334097,54.73574221383307
203,1394,382,0.08047391128488607,54.816216125117954
204,1470,382,0.08047391128488607,54.89669003640284
205,465,382,0.08047391128488607,54.97716394768772
206,388,382,0.08047391128488607,55.057637858972605
207,1332,380,0.08005258190643116,55.137690440879034
208,467,380,0.08005258190643116,55.21774302278546
209,1145,378,0.07963125252797627,55.29737427531344
210,1296,378,0.07963125252797627,55.37700552784141
211,277,376,0.07920992314952137,55.45621545099093
212,1563,376,0.07920992314952137,55.53542537414045
213,1624,373,0.07857792908183903,55.61400330322229
214,1474,373,0.07857792908183903,55.69258123230413
215,1310,371,0.07815659970338411,55.77073783200751
216,246,371,0.07815659970338411,55.848894431710896
217,664,370,0.07794593501415667,55.92684036672505
218,1506,370,0.07794593501415667,56.00478630173921
219,577,367,0.07731394094647431,56.082100242685684
220,140,365,0.07689261156801941,56.158992854253704
221,863,365,0.07689261156801941,56.235885465821724
222,1341,364,0.07668194687879197,56.31256741270052
223,1330,363,0.07647128218956452,56.38903869489008
224,164,362,0.07626061750033707,56.46529931239042
225,441,360,0.07583928812188216,56.541138600512305
226,401,360,0.07583928812188216,56.61697788863419
227,1248,359,0.07562862343265471,56.692606512066845
228,1284,358,0.07541795874342727,56.768024470810275
229,806,358,0.07541795874342727,56.843442429553704
230,1690,357,0.07520729405419982,56.918649723607906
231,546,357,0.07520729405419982,56.99385701766211
232,161,355,0.0747859646757449,57.068642982337856
233,376,355,0.0747859646757449,57.143428947013604
234,1710,354,0.07457529998651746,57.218004247000124
235,1127,353,0.07436463529729001,57.29236888229742
236,1678,352,0.07415397060806256,57.36652285290548
237,587,351,0.0739433059188351,57.44046615882432
238,81,351,0.0739433059188351,57.51440946474316
239,1526,350,0.07373264122960765,57.588142105972764
240,271,349,0.0735219765403802,57.66166408251314
241,1572,349,0.0735219765403802,57.73518605905352
242,1011,347,0.07310064716192531,57.80828670621544
243,907,347,0.07310064716192531,57.88138735337736
244,736,346,0.07288998247269786,57.95427733585006
245,1399,346,0.07288998247269786,58.02716731832275
246,319,345,0.0726793177834704,58.09984663610622
247,1537,344,0.07246865309424295,58.17231528920046
248,107,343,0.0722579884050155,58.244573277605475
249,585,343,0.0722579884050155,58.31683126601049
250,1487,342,0.07204732371578806,58.388878589726275
251,1645,342,0.07204732371578806,58.46092591344206
252,362,342,0.07204732371578806,58.53297323715785
253,609,341,0.0718366590265606,58.604809896184406
254,7,341,0.0718366590265606,58.676646555210965
255,1261,340,0.07162599433733315,58.7482725495483
256,47,340,0.07162599433733315,58.81989854388563
257,422,340,0.07162599433733315,58.89152453822296
258,1618,339,0.07141532964810571,58.962939867871064
259,1708,339,0.07141532964810571,59.03435519751917
260,934,338,0.07120466495887826,59.105559862478046
261,639,338,0.07120466495887826,59.17676452743692
262,1390,337,0.0709940002696508,59.24775852770657
263,1584,336,0.07078333558042335,59.318541863286995
264,848,336,0.07078333558042335,59.38932519886742
265,1629,336,0.07078333558042335,59.46010853444784
266,1554,336,0.07078333558042335,59.53089187002826
