bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,275623,99.6894,0.5910,0.0000,-0.5910,2.1704,2.6591,0.6850,-1.9741
0.02,0.05,zero,211590,99.6134,0.7548,0.0000,-0.7548,2.4290,3.1415,0.7557,-2.3857
0.05,0.1,zero,166168,99.4415,1.1175,0.0000,-1.1175,2.6951,4.0760,0.8786,-3.1974
0.1,0.2,zero,126155,99.0551,2.1141,0.0000,-2.1141,3.1369,6.1234,1.0677,-5.0557
0.2,0.3,zero,47944,98.4461,4.8265,0.0000,-4.8265,3.8608,11.1192,1.4538,-9.6654
0.3,0.4,zero,24783,97.1472,9.5832,0.0000,-9.5832,5.0099,19.1986,2.2233,-16.9753
0.4,1.01,zero,729421,98.6452,80.1974,0.0000,-80.1974,15.4671,82.7307,42.0816,-40.6491
0.0,0.02,random,275623,99.6894,0.5910,0.0000,-0.5910,2.8046,2.6591,0.8301,-1.8289
0.02,0.05,random,211590,99.6134,0.7548,0.0000,-0.7548,3.1839,3.1415,0.9391,-2.2024
0.05,0.1,random,166168,99.4415,1.1175,0.0000,-1.1175,3.5613,4.0760,1.1115,-2.9645
0.1,0.2,random,126155,99.0551,2.1141,0.0000,-2.1141,4.2207,6.1234,1.4110,-4.7125
0.2,0.3,random,47944,98.4461,4.8265,0.0000,-4.8265,5.3980,11.1192,2.0545,-9.0647
0.3,0.4,random,24783,97.1472,9.5832,0.0000,-9.5832,7.0952,19.1986,3.1877,-16.0110
0.4,1.01,random,729421,98.6452,80.1974,0.0000,-80.1974,17.6388,82.7307,44.5416,-38.1891
