bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,1581683,99.9359,0.0545,25.9723,25.9178,0.2745,0.2382,39.4494,39.2113
0.02,0.05,zero,1,100.0000,0.0000,100.0000,100.0000,0.0000,0.0000,100.0000,100.0000
0.05,0.1,zero,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,0.2,zero,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2,0.3,zero,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3,0.4,zero,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4,1.01,zero,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0,0.02,random,1581683,98.5648,0.0545,3.7507,3.6962,12.4525,0.2382,8.6153,8.3771
0.02,0.05,random,1,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.05,0.1,random,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,0.2,random,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2,0.3,random,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3,0.4,random,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4,1.01,random,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
