bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,811919,98.9388,0.6853,0.4411,-0.2442,4.0760,3.1328,1.5433,-1.5896
0.02,0.05,zero,38735,95.2420,3.5110,5.5480,2.0369,11.0825,10.7655,8.0935,-2.6720
0.05,0.1,zero,9392,79.4399,16.2585,30.5047,14.2462,37.7662,38.7670,38.9800,0.2129
0.1,0.2,zero,8855,56.6234,35.2005,58.2722,23.0717,64.7657,70.0734,72.5692,2.4958
0.2,0.3,zero,7340,43.7466,47.4523,65.5450,18.0926,72.2616,78.9101,80.7084,1.7984
0.3,0.4,zero,7116,36.5093,54.3002,68.1703,13.8702,74.6318,81.4784,83.1506,1.6723
0.4,1.01,zero,698327,1.5145,83.9312,84.2426,0.3115,81.2210,86.0219,85.9284,-0.0935
0.0,0.02,random,811919,98.6953,0.6853,0.4488,-0.2365,4.6284,3.1328,1.5934,-1.5394
0.02,0.05,random,38735,94.8445,3.5110,5.3621,1.8510,11.8038,10.7655,8.1554,-2.6100
0.05,0.1,random,9392,79.7274,16.2585,29.2696,13.0111,38.5754,38.7670,38.8416,0.0745
0.1,0.2,random,8855,56.7589,35.2005,56.2620,21.0615,65.0209,70.0734,72.2417,2.1683
0.2,0.3,random,7340,44.8093,47.4523,63.2153,15.7629,72.3243,78.9101,80.3951,1.4850
0.3,0.4,random,7116,38.0410,54.3002,65.7532,11.4531,74.3761,81.4784,82.8836,1.4053
0.4,1.01,random,698327,1.7824,83.9312,83.9144,-0.0168,81.8148,86.0219,85.9526,-0.0693
