bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,617171,98.8929,0.6920,0.8819,0.1899,3.9333,2.9864,2.1545,-0.8319
0.02,0.05,zero,173600,97.5346,1.8088,3.0190,1.2103,6.8089,6.4412,5.5927,-0.8485
0.05,0.1,zero,67125,92.8581,5.4674,10.0335,4.5661,14.8395,15.8480,16.6883,0.8402
0.1,0.2,zero,36225,78.7136,17.2974,28.8171,11.5197,35.2646,41.3195,45.2119,3.8923
0.2,0.3,zero,18340,60.2236,33.5987,47.6827,14.0840,55.2617,67.3119,72.5627,5.2508
0.3,0.4,zero,14652,49.1673,44.5741,55.1665,10.5924,62.0106,77.6754,81.1493,3.4739
0.4,1.01,zero,654571,8.3661,80.5140,76.4860,-4.0280,70.4887,84.1768,83.6902,-0.4866
0.0,0.02,random,617171,98.7924,0.6920,0.8392,0.1471,4.2120,2.9864,2.1744,-0.8119
0.02,0.05,random,173600,97.4096,1.8088,2.8111,1.0023,7.1099,6.4412,5.5714,-0.8698
0.05,0.1,random,67125,92.8909,5.4674,9.3199,3.8525,15.0534,15.8480,16.4365,0.5885
0.1,0.2,random,36225,79.1967,17.2974,26.6943,9.3968,35.2674,41.3195,44.5742,3.2547
0.2,0.3,random,18340,61.4885,33.5987,44.0567,10.4580,54.8408,67.3119,71.4995,4.1876
0.3,0.4,random,14652,51.0101,44.5741,51.3514,6.7772,61.4742,77.6754,80.2143,2.5389
0.4,1.01,random,654571,9.8532,80.5140,74.8197,-5.6943,71.1519,84.1768,83.4314,-0.7454
