bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,825117,98.6172,0.8970,0.3473,-0.5496,5.5261,3.7776,1.4141,-2.3635
0.02,0.05,zero,27268,94.9024,3.4729,2.7688,-0.7041,12.5451,9.7624,5.3213,-4.4411
0.05,0.1,zero,4632,75.8204,12.3921,16.5587,4.1667,45.5613,29.8791,27.9577,-1.9214
0.1,0.2,zero,4214,56.0513,27.0290,28.3104,1.2814,71.7181,50.7119,49.6678,-1.0441
0.2,0.3,zero,3285,48.6149,36.1339,31.2633,-4.8706,79.0137,56.4688,55.2207,-1.2481
0.3,0.4,zero,3195,44.4757,41.3772,32.8951,-8.4820,80.0814,59.3114,57.6839,-1.6275
0.4,1.01,zero,713973,1.4234,85.4665,84.3196,-1.1470,77.0833,86.4346,86.2642,-0.1705
0.0,0.02,random,825117,98.4357,0.8970,0.3487,-0.5483,5.8910,3.7776,1.4359,-2.3417
0.02,0.05,random,27268,94.3964,3.4729,2.7688,-0.7041,13.1414,9.7624,5.3689,-4.3934
0.05,0.1,random,4632,75.3454,12.3921,16.1701,3.7781,46.0967,29.8791,27.7418,-2.1373
0.1,0.2,random,4214,56.5021,27.0290,27.4798,0.4509,71.9886,50.7119,49.2406,-1.4713
0.2,0.3,random,3285,49.1020,36.1339,30.2283,-5.9056,79.2511,56.4688,54.7032,-1.7656
0.3,0.4,random,3195,45.3208,41.3772,31.2050,-10.1721,80.1753,59.3114,57.2770,-2.0344
0.4,1.01,random,713973,1.9403,85.4665,83.7931,-1.6735,76.3483,86.4346,86.2356,-0.1990
