bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,826386,95.5635,0.8882,0.3736,-0.5147,13.8603,3.5572,1.5872,-1.9700
0.02,0.05,zero,25629,79.8080,7.5461,5.7474,-1.7987,36.0794,17.4568,13.8866,-3.5702
0.05,0.1,zero,10078,52.0738,27.6345,24.1615,-3.4729,67.5491,48.7696,46.6958,-2.0738
0.1,0.2,zero,12277,29.8852,55.5022,49.6212,-5.8809,81.8099,77.6818,75.7025,-1.9793
0.2,0.3,zero,11642,17.9007,72.0581,66.9043,-5.1538,85.8100,86.4886,84.9854,-1.5032
0.3,0.4,zero,12782,10.8277,80.8011,77.2571,-3.5440,86.4043,89.6886,88.5542,-1.1344
0.4,1.01,zero,682890,0.5254,84.2576,84.0330,-0.2246,83.6790,85.5177,85.2473,-0.2705
0.0,0.02,random,826386,95.5194,0.8882,0.3743,-0.5139,13.9430,3.5572,1.5895,-1.9677
0.02,0.05,random,25629,79.6559,7.5461,5.7357,-1.8104,36.2808,17.4568,13.9178,-3.5390
0.05,0.1,random,10078,51.6174,27.6345,24.2707,-3.3638,67.7714,48.7696,46.7752,-1.9944
0.1,0.2,random,12277,29.6326,55.5022,49.6538,-5.8483,81.9956,77.6818,75.6781,-2.0037
0.2,0.3,random,11642,17.7633,72.0581,67.0761,-4.9820,85.9131,86.4886,84.9596,-1.5289
0.3,0.4,random,12782,10.7104,80.8011,77.3040,-3.4971,86.4403,89.6886,88.5151,-1.1735
0.4,1.01,random,682890,0.5089,84.2576,84.0450,-0.2126,83.6907,85.5177,85.2467,-0.2711
