bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,21273,75.4101,5.0440,2.1812,-2.8628,38.2278,15.0801,8.8328,-6.2474
0.02,0.05,zero,851,48.1786,18.3314,9.4007,-8.9307,56.3807,40.6580,30.6698,-9.9882
0.05,0.1,zero,342,47.3684,22.5146,16.0819,-6.4327,60.9942,60.5263,47.3684,-13.1579
0.1,0.2,zero,326,44.1718,30.3681,23.0061,-7.3620,64.3558,73.0061,59.5092,-13.4969
0.2,0.3,zero,190,25.7895,42.6316,34.7368,-7.8947,83.5789,85.2632,77.3684,-7.8947
0.3,0.4,zero,157,31.8471,50.3185,38.2166,-12.1019,83.8217,92.3567,82.8025,-9.5541
0.4,1.01,zero,9474,2.5227,98.5856,97.0340,-1.5516,87.4245,99.6411,99.2189,-0.4222
0.0,0.02,random,21273,75.4666,5.0440,2.2282,-2.8158,38.2654,15.0801,8.8516,-6.2286
0.02,0.05,random,851,47.4736,18.3314,9.6357,-8.6957,56.3102,40.6580,30.5523,-10.1058
0.05,0.1,random,342,47.3684,22.5146,16.3743,-6.1404,61.4035,60.5263,47.0760,-13.4503
0.1,0.2,random,326,42.9448,30.3681,23.6196,-6.7485,64.7239,73.0061,59.5092,-13.4969
0.2,0.3,random,190,24.7368,42.6316,35.7895,-6.8421,83.7895,85.2632,77.3684,-7.8947
0.3,0.4,random,157,29.9363,50.3185,39.4904,-10.8280,83.6943,92.3567,82.8025,-9.5541
0.4,1.01,random,9474,2.5121,98.5856,97.0551,-1.5305,87.4689,99.6411,99.2295,-0.4117
