bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,16659,90.3716,5.3545,1.7648,-3.5897,19.8151,15.5652,7.7556,-7.8096
0.02,0.05,zero,3470,80.0865,21.8444,7.0605,-14.7839,30.1210,40.2017,22.8530,-17.3487
0.05,0.1,zero,1480,71.1486,48.5135,17.1622,-31.3514,39.9459,66.7568,46.6216,-20.1351
0.1,0.2,zero,854,57.9625,61.5925,30.3279,-31.2646,48.3607,82.2014,65.2225,-16.9789
0.2,0.3,zero,296,52.0270,58.1081,35.1351,-22.9730,55.9459,86.4865,72.9730,-13.5135
0.3,0.4,zero,181,50.8287,51.3812,34.2541,-17.1271,63.4254,86.1878,71.2707,-14.9171
0.4,1.01,zero,9673,2.8223,98.0048,96.3300,-1.6748,87.5282,99.5761,98.7801,-0.7960
0.0,0.02,random,16659,90.3836,5.3545,1.6448,-3.7097,20.0036,15.5652,7.7316,-7.8336
0.02,0.05,random,3470,80.4035,21.8444,7.1470,-14.6974,30.1960,40.2017,22.7378,-17.4640
0.05,0.1,random,1480,70.8108,48.5135,17.2297,-31.2838,40.0541,66.7568,46.4865,-20.2703
0.1,0.2,random,854,59.0164,61.5925,30.4450,-31.1475,48.3372,82.2014,65.3396,-16.8618
0.2,0.3,random,296,52.0270,58.1081,34.4595,-23.6486,56.2838,86.4865,71.2838,-15.2027
0.3,0.4,random,181,51.3812,51.3812,33.7017,-17.6796,63.8674,86.1878,71.8232,-14.3646
0.4,1.01,random,9673,2.7913,98.0048,96.3507,-1.6541,87.6253,99.5761,98.8008,-0.7754
