bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,18677,99.7912,5.5202,0.5783,-4.9419,0.8170,15.7573,1.8311,-13.9262
0.02,0.05,zero,1944,98.3539,21.1420,3.6008,-17.5412,4.9280,43.9815,10.4424,-33.5391
0.05,0.1,zero,915,97.8142,28.9617,4.3716,-24.5902,5.9454,59.3443,12.5683,-46.7760
0.1,0.2,zero,641,94.6958,50.3900,6.3963,-43.9938,11.4821,75.6630,21.2168,-54.4462
0.2,0.3,zero,274,93.4307,57.6642,5.4745,-52.1898,13.4307,80.2920,16.0584,-64.2336
0.3,0.4,zero,176,97.1591,66.4773,1.7045,-64.7727,16.5909,90.3409,18.1818,-72.1591
0.4,1.01,zero,9986,6.0184,98.9085,93.9215,-4.9870,69.0647,99.7496,95.6739,-4.0757
0.0,0.02,random,18677,99.5288,5.5202,0.7496,-4.7706,1.3760,15.7573,2.3933,-13.3640
0.02,0.05,random,1944,97.2222,21.1420,3.5494,-17.5926,6.4815,43.9815,12.1399,-31.8416
0.05,0.1,random,915,97.1585,28.9617,4.4809,-24.4809,8.6120,59.3443,14.8634,-44.4809
0.1,0.2,random,641,92.5117,50.3900,9.2044,-41.1856,14.9766,75.6630,25.4290,-50.2340
0.2,0.3,random,274,91.9708,57.6642,6.5693,-51.0949,16.7153,80.2920,21.8978,-58.3942
0.3,0.4,random,176,93.7500,66.4773,5.6818,-60.7955,20.3409,90.3409,24.4318,-65.9091
0.4,1.01,random,9986,5.9483,98.9085,93.9315,-4.9770,69.4933,99.7496,95.8642,-3.8854
