bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,2154,94.4290,6.7781,1.5320,-5.2461,16.1096,25.2553,6.8245,-18.4308
0.02,0.05,zero,2432,93.2977,8.1826,1.4391,-6.7434,16.2007,26.6036,8.1826,-18.4211
0.05,0.1,zero,3029,92.0106,10.1684,2.5751,-7.5933,17.6890,31.1984,9.6071,-21.5913
0.1,0.2,zero,3799,90.6818,13.0297,2.7639,-10.2659,19.2682,33.8247,12.4770,-21.3477
0.2,0.3,zero,2543,89.0287,18.0495,3.8144,-14.2352,22.1864,38.8517,14.1958,-24.6559
0.3,0.4,zero,1809,87.4516,21.8905,5.4726,-16.4179,23.5821,44.6656,18.3527,-26.3129
0.4,1.01,zero,16847,33.0682,78.5006,63.0676,-15.4330,51.0263,86.3062,75.5268,-10.7794
0.0,0.02,random,2154,93.8719,6.7781,1.7177,-5.0604,16.2953,25.2553,6.7781,-18.4773
0.02,0.05,random,2432,92.8865,8.1826,1.6859,-6.4967,16.5049,26.6036,8.2648,-18.3388
0.05,0.1,random,3029,91.5484,10.1684,2.4431,-7.7253,17.7550,31.1984,9.5741,-21.6243
0.1,0.2,random,3799,90.0763,13.0297,2.6586,-10.3712,19.7526,33.8247,12.2664,-21.5583
0.2,0.3,random,2543,89.0680,18.0495,3.4998,-14.5497,22.5010,38.8517,14.1172,-24.7346
0.3,0.4,random,1809,86.8436,21.8905,5.4174,-16.4732,24.0133,44.6656,18.7949,-25.8706
0.4,1.01,random,16847,33.0741,78.5006,62.9904,-15.5102,51.1498,86.3062,75.4912,-10.8150
