bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,2029,97.0922,9.7092,1.9221,-7.7871,8.2602,32.1833,7.8857,-24.2977
0.02,0.05,zero,2436,96.1002,11.0016,2.6273,-8.3744,9.8440,32.9228,10.0164,-22.9064
0.05,0.1,zero,2902,95.5203,13.1978,3.1013,-10.0965,10.9786,35.4928,10.5100,-24.9828
0.1,0.2,zero,3789,94.6952,17.6036,4.2755,-13.3281,12.0982,41.6733,13.1169,-28.5563
0.2,0.3,zero,2559,92.5752,20.6331,5.2755,-15.3576,14.8652,46.5025,17.7413,-28.7612
0.3,0.4,zero,1776,91.8356,26.6892,6.0811,-20.6081,15.7658,50.0563,19.3694,-30.6869
0.4,1.01,zero,17122,36.1932,80.6448,62.9424,-17.7024,38.7537,88.3308,75.2657,-13.0651
0.0,0.02,random,2029,97.3386,9.7092,1.8728,-7.8364,8.2208,32.1833,7.7378,-24.4455
0.02,0.05,random,2436,96.0181,11.0016,2.7915,-8.2102,10.0903,32.9228,10.6322,-22.2906
0.05,0.1,random,2902,95.5203,13.1978,2.9635,-10.2343,11.0751,35.4928,10.6823,-24.8105
0.1,0.2,random,3789,94.8007,17.6036,4.5131,-13.0905,12.3252,41.6733,13.2489,-28.4244
0.2,0.3,random,2559,92.3408,20.6331,5.0801,-15.5530,15.0293,46.5025,17.8195,-28.6831
0.3,0.4,random,1776,91.3288,26.6892,6.4189,-20.2703,15.9347,50.0563,19.0878,-30.9685
0.4,1.01,random,17122,36.0063,80.6448,63.0242,-17.6206,39.0527,88.3308,75.4118,-12.9191
